,game,round,week,date,home_team,away_team,home_score,away_score,game_id
0,2024-08-23 Borussia M'gladbach-Bayer 04 Leverkusen,1,1,2024-08-23 18:30:00+00:00,Borussia M'gladbach,Bayer 04 Leverkusen,2.0,3.0,12499375
1,2024-08-24 1. FSV Mainz 05-1. FC Union Berlin,1,1,2024-08-24 13:30:00+00:00,1. FSV Mainz 05,1. FC Union Berlin,1.0,1.0,12499452
2,2024-08-24 Borussia Dortmund-Eintracht Frankfurt,1,1,2024-08-24 16:30:00+00:00,Borussia Dortmund,Eintracht Frankfurt,2.0,0.0,12499391
3,2024-08-24 FC Augsburg-SV Werder Bremen,1,1,2024-08-24 13:30:00+00:00,FC Augsburg,SV Werder Bremen,2.0,2.0,12499430
4,2024-08-24 RB Leipzig-VfL Bochum 1848,1,1,2024-08-24 13:30:00+00:00,RB Leipzig,VfL Bochum 1848,1.0,0.0,12499386
5,2024-08-24 SC Freiburg-VfB Stuttgart,1,1,2024-08-24 13:30:00+00:00,SC Freiburg,VfB Stuttgart,3.0,1.0,12499418
6,2024-08-24 TSG Hoffenheim-Holstein Kiel,1,1,2024-08-24 13:30:00+00:00,TSG Hoffenheim,Holstein Kiel,3.0,2.0,12499406
7,2024-08-25 FC St. Pauli-1. FC Heidenheim,1,1,2024-08-25 15:30:00+00:00,FC St. Pauli,1. FC Heidenheim,0.0,2.0,12499462
8,2024-08-25 VfL Wolfsburg-FC Bayern München,1,1,2024-08-25 13:30:00+00:00,VfL Wolfsburg,FC Bayern München,2.0,3.0,12583571
9,2024-08-30 1. FC Union Berlin-FC St. Pauli,2,2,2024-08-30 18:30:00+00:00,1. FC Union Berlin,FC St. Pauli,1.0,0.0,12499524
10,2024-08-31 Bayer 04 Leverkusen-RB Leipzig,2,2,2024-08-31 16:30:00+00:00,Bayer 04 Leverkusen,RB Leipzig,2.0,3.0,12499471
11,2024-08-31 Eintracht Frankfurt-TSG Hoffenheim,2,2,2024-08-31 13:30:00+00:00,Eintracht Frankfurt,TSG Hoffenheim,3.0,1.0,12499498
12,2024-08-31 Holstein Kiel-VfL Wolfsburg,2,2,2024-08-31 13:30:00+00:00,Holstein Kiel,VfL Wolfsburg,0.0,2.0,12499540
13,2024-08-31 SV Werder Bremen-Borussia Dortmund,2,2,2024-08-31 13:30:00+00:00,SV Werder Bremen,Borussia Dortmund,0.0,0.0,12499514
14,2024-08-31 VfB Stuttgart-1. FSV Mainz 05,2,2,2024-08-31 13:30:00+00:00,VfB Stuttgart,1. FSV Mainz 05,3.0,3.0,12499480
15,2024-08-31 VfL Bochum 1848-Borussia M'gladbach,2,2,2024-08-31 13:30:00+00:00,VfL Bochum 1848,Borussia M'gladbach,0.0,2.0,12499533
16,2024-09-01 1. FC Heidenheim-FC Augsburg,2,2,2024-09-01 13:30:00+00:00,1. FC Heidenheim,FC Augsburg,4.0,0.0,12499507
17,2024-09-01 FC Bayern München-SC Freiburg,2,2,2024-09-01 15:30:00+00:00,FC Bayern München,SC Freiburg,2.0,0.0,12499488
18,2024-09-13 Borussia Dortmund-1. FC Heidenheim,3,3,2024-09-13 18:30:00+00:00,Borussia Dortmund,1. FC Heidenheim,4.0,2.0,12499549
19,2024-09-14 Borussia M'gladbach-VfB Stuttgart,3,3,2024-09-14 13:30:00+00:00,Borussia M'gladbach,VfB Stuttgart,1.0,3.0,12499585
20,2024-09-14 Holstein Kiel-FC Bayern München,3,3,2024-09-14 16:30:00+00:00,Holstein Kiel,FC Bayern München,1.0,6.0,12499588
21,2024-09-14 RB Leipzig-1. FC Union Berlin,3,3,2024-09-14 13:30:00+00:00,RB Leipzig,1. FC Union Berlin,0.0,0.0,12499546
22,2024-09-14 SC Freiburg-VfL Bochum 1848,3,3,2024-09-14 13:30:00+00:00,SC Freiburg,VfL Bochum 1848,2.0,1.0,12499571
23,2024-09-14 TSG Hoffenheim-Bayer 04 Leverkusen,3,3,2024-09-14 13:30:00+00:00,TSG Hoffenheim,Bayer 04 Leverkusen,1.0,4.0,12499552
24,2024-09-14 VfL Wolfsburg-Eintracht Frankfurt,3,3,2024-09-14 13:30:00+00:00,VfL Wolfsburg,Eintracht Frankfurt,1.0,2.0,12499577
25,2024-09-15 1. FSV Mainz 05-SV Werder Bremen,3,3,2024-09-15 15:30:00+00:00,1. FSV Mainz 05,SV Werder Bremen,1.0,2.0,12499581
26,2024-09-15 FC Augsburg-FC St. Pauli,3,3,2024-09-15 13:30:00+00:00,FC Augsburg,FC St. Pauli,3.0,1.0,12499575
27,2024-09-20 FC Augsburg-1. FSV Mainz 05,4,4,2024-09-20 18:30:00+00:00,FC Augsburg,1. FSV Mainz 05,2.0,3.0,12499607
28,2024-09-21 1. FC Heidenheim-SC Freiburg,4,4,2024-09-21 13:30:00+00:00,1. FC Heidenheim,SC Freiburg,0.0,3.0,12499600
29,2024-09-21 1. FC Union Berlin-TSG Hoffenheim,4,4,2024-09-21 13:30:00+00:00,1. FC Union Berlin,TSG Hoffenheim,2.0,1.0,12499610
30,2024-09-21 Eintracht Frankfurt-Borussia M'gladbach,4,4,2024-09-21 16:30:00+00:00,Eintracht Frankfurt,Borussia M'gladbach,2.0,0.0,12499598
31,2024-09-21 SV Werder Bremen-FC Bayern München,4,4,2024-09-21 13:30:00+00:00,SV Werder Bremen,FC Bayern München,0.0,5.0,12499604
32,2024-09-21 VfL Bochum 1848-Holstein Kiel,4,4,2024-09-21 13:30:00+00:00,VfL Bochum 1848,Holstein Kiel,2.0,2.0,12499614
33,2024-09-22 Bayer 04 Leverkusen-VfL Wolfsburg,4,4,2024-09-22 13:30:00+00:00,Bayer 04 Leverkusen,VfL Wolfsburg,4.0,3.0,12499591
34,2024-09-22 FC St. Pauli-RB Leipzig,4,4,2024-09-22 17:30:00+00:00,FC St. Pauli,RB Leipzig,0.0,0.0,12499617
35,2024-09-22 VfB Stuttgart-Borussia Dortmund,4,4,2024-09-22 15:30:00+00:00,VfB Stuttgart,Borussia Dortmund,5.0,1.0,12499595
36,2024-09-27 Borussia Dortmund-VfL Bochum 1848,5,5,2024-09-27 18:30:00+00:00,Borussia Dortmund,VfL Bochum 1848,4.0,2.0,12499627
37,2024-09-28 1. FSV Mainz 05-1. FC Heidenheim,5,5,2024-09-28 13:30:00+00:00,1. FSV Mainz 05,1. FC Heidenheim,0.0,2.0,12499642
38,2024-09-28 Borussia M'gladbach-1. FC Union Berlin,5,5,2024-09-28 13:30:00+00:00,Borussia M'gladbach,1. FC Union Berlin,1.0,0.0,12499644
39,2024-09-28 FC Bayern München-Bayer 04 Leverkusen,5,5,2024-09-28 16:30:00+00:00,FC Bayern München,Bayer 04 Leverkusen,1.0,1.0,12499620
40,2024-09-28 RB Leipzig-FC Augsburg,5,5,2024-09-28 13:30:00+00:00,RB Leipzig,FC Augsburg,4.0,0.0,12499624
41,2024-09-28 SC Freiburg-FC St. Pauli,5,5,2024-09-28 13:30:00+00:00,SC Freiburg,FC St. Pauli,0.0,3.0,12499633
42,2024-09-28 VfL Wolfsburg-VfB Stuttgart,5,5,2024-09-28 13:30:00+00:00,VfL Wolfsburg,VfB Stuttgart,2.0,2.0,12499638
43,2024-09-29 Holstein Kiel-Eintracht Frankfurt,5,5,2024-09-29 13:30:00+00:00,Holstein Kiel,Eintracht Frankfurt,2.0,4.0,12499648
44,2024-09-29 TSG Hoffenheim-SV Werder Bremen,5,5,2024-09-29 15:30:00+00:00,TSG Hoffenheim,SV Werder Bremen,3.0,4.0,12499631
45,2024-10-04 FC Augsburg-Borussia M'gladbach,6,6,2024-10-04 18:30:00+00:00,FC Augsburg,Borussia M'gladbach,2.0,1.0,12499666
46,2024-10-05 1. FC Union Berlin-Borussia Dortmund,6,6,2024-10-05 13:30:00+00:00,1. FC Union Berlin,Borussia Dortmund,2.0,1.0,12499671
47,2024-10-05 Bayer 04 Leverkusen-Holstein Kiel,6,6,2024-10-05 13:30:00+00:00,Bayer 04 Leverkusen,Holstein Kiel,2.0,2.0,12499652
48,2024-10-05 FC St. Pauli-1. FSV Mainz 05,6,6,2024-10-05 16:30:00+00:00,FC St. Pauli,1. FSV Mainz 05,0.0,3.0,12499677
