index,round,homeTeam,awayTeam,xg,goal,minute,goalDifference,player,playerID,position,rating,team,eloTeam,keeper,keeperID,keeperRating,opponent,eloOpponent,isHome,x,y,distance,angle,situation,bodyPart
0,1,SV Werder Bremen,FC Bayern München,0.61709952354431,1,4,0,Leroy Sané,293519,M,81,FC Bayern München,1940,Jiří Pavlenka,154040,77,SV Werder Bremen,1597,False,15,44,15,14,fast-break,weak-foot
0,1,SV Werder Bremen,FC Bayern München,0.01175235118717,0,11,1,Harry Kane,108579,F,90,FC Bayern München,1940,Jiří Pavlenka,154040,77,SV Werder Bremen,1597,False,34,34,34,10,set-piece,strong-foot
0,1,SV Werder Bremen,FC Bayern München,0.042116496711969,0,19,1,Jamal Musiala,1010231,M,72,FC Bayern München,1940,Jiří Pavlenka,154040,77,SV Werder Bremen,1597,False,29,34,29,11,assisted,strong-foot
0,1,SV Werder Bremen,FC Bayern München,0.069756746292114,0,21,1,Noussair Mazraoui,847030,D,64,FC Bayern München,1940,Jiří Pavlenka,154040,77,SV Werder Bremen,1597,False,24,50,26,22,assisted,strong-foot
0,1,SV Werder Bremen,FC Bayern München,0.07325179874897,0,23,-1,Marvin Ducksch,258325,F,76,SV Werder Bremen,1597,Sven Ulreich,26768,75,FC Bayern München,1940,True,31,34,31,10,free-kick,weak-foot
0,1,SV Werder Bremen,FC Bayern München,0.10668554902077,0,25,1,Harry Kane,108579,F,90,FC Bayern München,1940,Jiří Pavlenka,154040,77,SV Werder Bremen,1597,False,9,38,9,12,corner,strong-foot
0,1,SV Werder Bremen,FC Bayern München,0.01938652805984,0,34,1,Leon Goretzka,184661,M,81,FC Bayern München,1940,Jiří Pavlenka,154040,77,SV Werder Bremen,1597,False,33,38,33,3,assisted,strong-foot
0,1,SV Werder Bremen,FC Bayern München,0.039182394742966,0,39,1,Harry Kane,108579,F,90,FC Bayern München,1940,Jiří Pavlenka,154040,77,SV Werder Bremen,1597,False,16,51,19,34,assisted,weak-foot
0,1,SV Werder Bremen,FC Bayern München,0.018906854093075,0,40,1,Jamal Musiala,1010231,M,72,FC Bayern München,1940,Jiří Pavlenka,154040,77,SV Werder Bremen,1597,False,28,37,28,6,assisted,strong-foot
0,1,SV Werder Bremen,FC Bayern München,0.036861710250378,0,42,1,Joshua Kimmich,259117,M,72,FC Bayern München,1940,Jiří Pavlenka,154040,77,SV Werder Bremen,1597,False,34,36,34,6,free-kick,strong-foot
0,1,SV Werder Bremen,FC Bayern München,0.038517635315657,0,44,1,Jamal Musiala,1010231,M,72,FC Bayern München,1940,Jiří Pavlenka,154040,77,SV Werder Bremen,1597,False,18,31,20,26,assisted,strong-foot
0,1,SV Werder Bremen,FC Bayern München,0.058461505919695,0,45,1,Min-jae Kim,896569,D,31,FC Bayern München,1940,Jiří Pavlenka,154040,77,SV Werder Bremen,1597,False,9,36,9,23,corner,head
0,1,SV Werder Bremen,FC Bayern München,0.043447639793158,0,46,-1,Mitchell Weiser,138150,M,60,SV Werder Bremen,1597,Sven Ulreich,26768,75,FC Bayern München,1940,True,18,39,18,3,regular,weak-foot
0,1,SV Werder Bremen,FC Bayern München,0.030697349458933,0,47,1,Leroy Sané,293519,M,81,FC Bayern München,1940,Jiří Pavlenka,154040,77,SV Werder Bremen,1597,False,23,58,29,38,assisted,strong-foot
0,1,SV Werder Bremen,FC Bayern München,0.24771392345428,0,47,-1,Leonardo Bittencourt,111969,M,68,SV Werder Bremen,1597,Sven Ulreich,26768,75,FC Bayern München,1940,True,9,44,9,23,assisted,strong-foot
