,index,round,homeTeam,awayTeam,xg,goal,minute,goalDifference,player,playerID,position,rating,team,eloTeam,keeper,keeperID,keeperRating,opponent,eloOpponent,isHome,x,y,distance,angle,situation,bodyPart
0,0,1,Olympique Lyonnais,Ajaccio,0.070945531129837,0,7,0,Lucas Paquetá,839981,M,77,Olympique Lyonnais,1735,Benjamin Leroy,80392,73,Ajaccio,1497,True,14,27,19,42,assisted,strong-foot
1,0,1,Olympique Lyonnais,Ajaccio,0.018060654401779,0,7,0,Tetê,980327,M,71,Olympique Lyonnais,1735,Benjamin Leroy,80392,73,Ajaccio,1497,True,29,64,37,39,corner,strong-foot
2,0,1,Olympique Lyonnais,Ajaccio,0.099687099456787,1,12,0,Tetê,980327,M,71,Olympique Lyonnais,1735,Benjamin Leroy,80392,73,Ajaccio,1497,True,17,42,17,6,assisted,strong-foot
3,0,1,Olympique Lyonnais,Ajaccio,0.033068716526031,0,18,-1,Riad Nouri,74061,M,72,Ajaccio,1497,Anthony Lopes,48535,82,Olympique Lyonnais,1735,False,6,29,12,61,assisted,head
4,0,1,Olympique Lyonnais,Ajaccio,0.7884,1,22,1,Alexandre Lacazette,50070,F,81,Olympique Lyonnais,1735,Benjamin Leroy,80392,73,Ajaccio,1497,True,13,40,13,0,penalty,strong-foot
5,0,1,Olympique Lyonnais,Ajaccio,0.7884,1,31,-2,Thomas Mangani,14142,M,68,Ajaccio,1497,Anthony Lopes,48535,82,Olympique Lyonnais,1735,False,13,40,13,0,penalty,strong-foot
6,0,1,Olympique Lyonnais,Ajaccio,0.080022841691971,0,32,-1,Thomas Mangani,14142,M,68,Ajaccio,1497,Anthony Lopes,48535,82,Olympique Lyonnais,1735,False,25,42,25,4,regular,weak-foot
7,0,1,Olympique Lyonnais,Ajaccio,0.02527067065239,0,41,1,Malo Gusto,996958,D,48,Olympique Lyonnais,1735,Benjamin Leroy,80392,73,Ajaccio,1497,True,17,59,25,48,assisted,weak-foot
8,0,1,Olympique Lyonnais,Ajaccio,0.19328406453133,0,42,-1,Romain Hamouma,74139,F,74,Ajaccio,1497,Anthony Lopes,48535,82,Olympique Lyonnais,1735,False,24,30,26,22,fast-break,weak-foot
9,0,1,Olympique Lyonnais,Ajaccio,0.011573106050491,0,56,1,Alexandre Lacazette,50070,F,81,Olympique Lyonnais,1735,Benjamin Leroy,80392,73,Ajaccio,1497,True,40,19,45,27,assisted,strong-foot
10,0,1,Olympique Lyonnais,Ajaccio,0.21351662278175,0,59,-1,Riad Nouri,74061,M,72,Ajaccio,1497,Anthony Lopes,48535,82,Olympique Lyonnais,1735,False,17,45,17,16,assisted,weak-foot
11,0,1,Olympique Lyonnais,Ajaccio,0.020645320415497,0,60,-1,Mounaim El Idrissy,960007,F,68,Ajaccio,1497,Anthony Lopes,48535,82,Olympique Lyonnais,1735,False,8,60,21,68,regular,strong-foot
12,0,1,Olympique Lyonnais,Ajaccio,0.022069156169891,0,62,1,Nicolás Tagliafico,158243,D,54,Olympique Lyonnais,1735,Benjamin Leroy,80392,73,Ajaccio,1497,True,12,28,16,45,regular,strong-foot
13,0,1,Olympique Lyonnais,Ajaccio,0.055280566215515,0,66,1,Tetê,980327,M,71,Olympique Lyonnais,1735,Benjamin Leroy,80392,73,Ajaccio,1497,True,28,49,29,17,regular,strong-foot
14,0,1,Olympique Lyonnais,Ajaccio,0.027477860450745,0,70,1,Johann Lepenant,963299,M,42,Olympique Lyonnais,1735,Benjamin Leroy,80392,73,Ajaccio,1497,True,29,55,32,27,corner,strong-foot
15,0,1,Olympique Lyonnais,Ajaccio,0.097078233957291,0,73,-1,Bevic Moussiti Oko,806520,F,69,Ajaccio,1497,Anthony Lopes,48535,82,Olympique Lyonnais,1735,False,10,40,10,0,corner,head
16,0,1,Olympique Lyonnais,Ajaccio,0.062352359294891,0,77,-1,Yanis Cimignani,1049523,M,66,Ajaccio,1497,Anthony Lopes,48535,82,Olympique Lyonnais,1735,False,16,39,16,3,assisted,strong-foot
17,0,1,Olympique Lyonnais,Ajaccio,0.089062422513962,0,86,1,Bradley Barcola,996952,F,61,Olympique Lyonnais,1735,Benjamin Leroy,80392,73,Ajaccio,1497,True,6,29,12,61,assisted,weak-foot
