minute,goalDifference,player,position,rating,team,eloTeam,keeper,keeperRating,opponent,eloOpponent,isHome,x,y,distance,angle,situation,bodyPart,xg,goal
12,-1,Jeison Murillo,D,40,Spezia,1531,Emil Audero,78,U.C Sampdoria,1565,True,5,40,5,0,regular,other,0.0,1
90,1,Victor Osimhen,F,81,Napoli,1845,Rui PatrÃ­cio,81,Roma,1733,False,72,20,74,15,assisted,right-foot,0.0005,0
52,0,Cyriel Dessers,F,73,Cremonese,1473,Andrea Consigli,80,Sassuolo,1652,True,10,24,18,57,assisted,left-foot,0.0005469322204589,0
27,0,Sandro Tonali,M,73,Milan,1845,Alex Meret,79,Napoli,1804,True,30,18,37,36,free-kick,right-foot,0.0014793872833252,0
90,0,Jhon LucumÃ­,D,27,Bologna,1591,BartÅ‚omiej DrÄ…gowski,75,Spezia,1531,False,5,25,15,71,set-piece,head,0.0018655955791473,0
55,-1,Joakim MÃ¦hle,D,55,Atalanta,1755,Alex Meret,79,Napoli,1893,True,12,28,16,45,regular,right-foot,0.0023456513881683,0
46,0,Ciro Immobile,F,87,Lazio,1738,Alex Meret,78,Napoli,1804,True,56,38,56,2,assisted,right-foot,0.0025256276130676,0
33,-1,Bruno Amione,D,35,U.C Sampdoria,1531,Pietro Terracciano,78,Fiorentina,1633,True,18,40,18,0,set-piece,head,0.0027147829532623,0
34,0,Mattia Zaccagni,F,71,Lazio,1717,Luigi Sepe,73,Salernitana,1493,True,10,41,10,5,corner,head,0.0031862556934357,0
64,0,Leo Ã˜stigÃ¥rd,D,37,Napoli,1800,Wladimiro Falcone,69,Lecce,1524,True,39,55,41,21,assisted,right-foot,0.0033022165298462,0
85,2,Marco D'Alessandro,M,60,Monza,1522,Emil Audero,78,U.C Sampdoria,1521,False,21,29,23,27,regular,right-foot,0.0036065876483917,0
90,-1,Milan ÄuriÄ‡,F,69,Hellas Verona,1594,Ciprian TÄƒtÄƒruÈ™anu,76,Milan,1835,True,1,46,6,80,corner,right-foot,0.0036778151988983,0
61,0,Charles Pickel,M,54,Cremonese,1465,Wladimiro Falcone,71,Lecce,1519,False,12,43,12,14,corner,head,0.0041888654232025,0
4,0,Lautaro MartÃ­nez,F,83,Inter,1810,Rui PatrÃ­cio,81,Roma,1733,True,15,49,17,30,set-piece,head,0.0042612850666046,0
19,0,Sergej MilinkoviÄ‡-SaviÄ‡,M,80,Lazio,1738,Lorenzo MontipÃ²,76,Hellas Verona,1622,True,11,42,11,10,corner,head,0.0043505728244781,0
64,-1,Arkadiusz Reca,M,55,Spezia,1532,Wojciech SzczÄ™sny,86,Juventus,1783,False,41,49,41,12,set-piece,right-foot,0.0046065151691437,0
