game_index,week,home_team,away_team,xg,goal,minute,goal_difference,player,player_id,position,rating,team,eloTeam,keeper,keeperRating,opponent,eloOpponent,isHome,x,y,distance,angle,situation,body_part,opponentsInCone,minDist
0,1,Bayern Munich,Hamburger SV,0.04022602,0,3,0,Lewis Harry Holtby,8891,M,68,Hamburger SV,1618,Manuel Neuer,90,Bayern Munich,1980,False,105.2,28.1,18,38,Regular Play,Strong Foot,1,2.56
0,1,Bayern Munich,Hamburger SV,0.10892223,0,7,0,Arjen Robben,8218,M,86,Bayern Munich,1980,René Adler,80,Hamburger SV,1618,True,107.6,42.1,12,9,From Throw In,Head,1,3.76
0,1,Bayern Munich,Hamburger SV,0.045653418,0,8,0,Philipp Lahm,19295,D,55,Bayern Munich,1980,René Adler,80,Hamburger SV,1618,True,108.2,51.4,16,44,Regular Play,Strong Foot,2,1.72
0,1,Bayern Munich,Hamburger SV,0.103627205,0,16,0,Robert Lewandowski,5668,F,84,Bayern Munich,1980,René Adler,80,Hamburger SV,1618,True,112.2,39.3,7,5,From Corner,Head,1,0.51
0,1,Bayern Munich,Hamburger SV,0.14141238,0,20,0,Robert Lewandowski,5668,F,84,Bayern Munich,1980,René Adler,80,Hamburger SV,1618,True,110.8,41.9,9,11,From Throw In,Head,1,2.3
0,1,Bayern Munich,Hamburger SV,0.26003498,1,26,0,Medhi Amine El Mouttaqi Benatia,5244,D,43,Bayern Munich,1980,René Adler,80,Hamburger SV,1618,True,114.3,42.5,6,23,From Free Kick,Head,1,0.86
0,1,Bayern Munich,Hamburger SV,0.17991757,0,28,1,Thomas Müller,5562,M,83,Bayern Munich,1980,René Adler,80,Hamburger SV,1618,True,107.0,42.7,13,11,From Goal Kick,Weak Foot,1,2.47
0,1,Bayern Munich,Hamburger SV,0.0062178588,0,31,1,Jérôme Boateng,5578,D,50,Bayern Munich,1980,René Adler,80,Hamburger SV,1618,True,83.3,52.2,38,18,From Throw In,Strong Foot,2,3.54
0,1,Bayern Munich,Hamburger SV,0.114867814,0,32,1,Jérôme Boateng,5578,D,50,Bayern Munich,1980,René Adler,80,Hamburger SV,1618,True,115.0,43.3,5,33,From Corner,Head,2,0.72
0,1,Bayern Munich,Hamburger SV,0.0108429855,0,38,-1,Sven Schipplock,8321,F,71,Hamburger SV,1618,Manuel Neuer,90,Bayern Munich,1980,False,112.3,55.5,17,63,From Throw In,Strong Foot,2,1.48
0,1,Bayern Munich,Hamburger SV,0.062344804,0,45,1,David Olatukunbo Alaba,8220,D,71,Bayern Munich,1980,René Adler,80,Hamburger SV,1618,True,100.6,32.0,20,22,From Free Kick,Strong Foot,2,5.15
0,1,Bayern Munich,Hamburger SV,0.008123498,0,45,-1,Dennis Diekmeier,8316,D,38,Hamburger SV,1618,Manuel Neuer,90,Bayern Munich,1980,False,92.7,57.6,32,32,From Kick Off,Strong Foot,2,3.78
0,1,Bayern Munich,Hamburger SV,0.038846936,0,50,1,David Olatukunbo Alaba,8220,D,71,Bayern Munich,1980,René Adler,80,Hamburger SV,1618,True,95.7,54.3,28,30,From Free Kick,Strong Foot,4,8.63
0,1,Bayern Munich,Hamburger SV,0.14100806,1,52,1,Robert Lewandowski,5668,F,84,Bayern Munich,1980,René Adler,80,Hamburger SV,1618,True,107.3,43.4,13,14,From Throw In,Strong Foot,2,2.8
0,1,Bayern Munich,Hamburger SV,0.0033830546,0,54,2,Xabier Alonso Olano,20133,M,68,Bayern Munich,1980,René Adler,80,Hamburger SV,1618,True,56.2,39.3,63,0,Regular Play,Weak Foot,1,7.53
0,1,Bayern Munich,Hamburger SV,0.015444283,0,63,2,Douglas Costa de Souza,5837,M,74,Bayern Munich,1980,René Adler,80,Hamburger SV,1618,True,91.4,28.8,30,21,Regular Play,Strong Foot,3,2.68
0,1,Bayern Munich,Hamburger SV,0.117799476,0,63,2,Márcio Rafael Ferreira de Souza,8209,D,45,Bayern Munich,1980,René Adler,80,Hamburger SV,1618,True,105.4,51.7,18,38,From Corner,Strong Foot,1,2.33
0,1,Bayern Munich,Hamburger SV,0.067054674,0,64,2,Douglas Costa de Souza,5837,M,74,Bayern Munich,1980,René Adler,80,Hamburger SV,1618,True,103.8,46.7,17,22,From Corner,Strong Foot,3,4.0
0,1,Bayern Munich,Hamburger SV,0.019396784,0,66,-2,Ivica Olić,19289,F,77,Hamburger SV,1618,Manuel Neuer,90,Bayern Munich,1980,False,98.7,55.5,26,36,Regular Play,Strong Foot,2,1.9
0,1,Bayern Munich,Hamburger SV,0.34717077,1,68,2,Thomas Müller,5562,M,83,Bayern Munich,1980,René Adler,80,Hamburger SV,1618,True,115.6,42.8,5,32,Regular Play,Head,1,1.06
0,1,Bayern Munich,Hamburger SV,0.0052459883,0,69,-3,Michael Gregoritsch,8309,M,63,Hamburger SV,1618,Manuel Neuer,90,Bayern Munich,1980,False,86.1,52.3,36,19,From Kick Off,Strong Foot,2,2.47
