game_index,week,home_team,away_team,xg,goal,minute,goal_difference,player,player_id,position,rating,team,eloTeam,keeper,keeperRating,opponent,eloOpponent,isHome,x,y,distance,angle,situation,body_part,opponentsInCone,minDist
0,1,Sporting Gijón,Real Madrid,0.038795162,0,2,0,Cristiano Ronaldo dos Santos Aveiro,5207,F,93,Real Madrid,2062,Iván Cuéllar,76,Sporting Gijón,1698,False,106.4,22.8,21,51,Regular Play,Strong Foot,1,6.53
0,1,Sporting Gijón,Real Madrid,0.044190973,0,8,0,Cristiano Ronaldo dos Santos Aveiro,5207,F,93,Real Madrid,2062,Iván Cuéllar,76,Sporting Gijón,1698,False,91.0,33.6,29,12,From Free Kick,Strong Foot,6,10.4
0,1,Sporting Gijón,Real Madrid,0.04749736,0,9,0,Gareth Frank Bale,6399,M,82,Real Madrid,2062,Iván Cuéllar,76,Sporting Gijón,1698,False,100.0,31.0,21,24,From Free Kick,Weak Foot,1,3.97
0,1,Sporting Gijón,Real Madrid,0.07614354,0,11,0,Gareth Frank Bale,6399,M,82,Real Madrid,2062,Iván Cuéllar,76,Sporting Gijón,1698,False,114.3,22.4,18,72,Regular Play,Strong Foot,0,9.39
0,1,Sporting Gijón,Real Madrid,0.0064105755,0,15,0,Marcelo Vieira da Silva Júnior,5552,D,67,Real Madrid,2062,Iván Cuéllar,76,Sporting Gijón,1698,False,90.9,23.3,33,29,From Throw In,Strong Foot,1,3.66
0,1,Sporting Gijón,Real Madrid,0.028943423,0,18,0,Jesé Rodríguez Ruiz,3990,F,75,Real Madrid,2062,Iván Cuéllar,76,Sporting Gijón,1698,False,106.5,57.4,22,52,Regular Play,Weak Foot,1,3.44
0,1,Sporting Gijón,Real Madrid,0.03224591,0,20,0,Francisco Román Alarcón Suárez,4926,F,75,Real Madrid,2062,Iván Cuéllar,76,Sporting Gijón,1698,False,95.1,40.7,24,1,Regular Play,Strong Foot,2,1.08
0,1,Sporting Gijón,Real Madrid,0.03957649,0,21,0,Bernardo José Espinosa Zúñiga,6573,D,44,Sporting Gijón,1698,Keylor Navas,79,Real Madrid,2062,True,106.4,47.3,15,28,From Throw In,Strong Foot,3,1.71
0,1,Sporting Gijón,Real Madrid,0.054809436,0,25,0,Francisco Román Alarcón Suárez,4926,F,75,Real Madrid,2062,Iván Cuéllar,76,Sporting Gijón,1698,False,101.1,53.0,22,34,Regular Play,Strong Foot,1,2.02
0,1,Sporting Gijón,Real Madrid,0.023894979,0,32,0,Cristiano Ronaldo dos Santos Aveiro,5207,F,93,Real Madrid,2062,Iván Cuéllar,76,Sporting Gijón,1698,False,95.5,52.4,27,26,From Free Kick,Strong Foot,2,1.66
0,1,Sporting Gijón,Real Madrid,0.040484678,0,33,0,Jesé Rodríguez Ruiz,3990,F,75,Real Madrid,2062,Iván Cuéllar,76,Sporting Gijón,1698,False,99.1,31.2,22,22,Regular Play,Weak Foot,1,2.73
0,1,Sporting Gijón,Real Madrid,0.057920586,0,35,0,Arnaldo Antonio Sanabria Ayala,6880,F,70,Sporting Gijón,1698,Keylor Navas,79,Real Madrid,2062,True,111.8,44.5,9,28,Regular Play,Head,2,0.61
0,1,Sporting Gijón,Real Madrid,0.021107573,0,36,0,Ignacio Cases Mora,18925,M,63,Sporting Gijón,1698,Keylor Navas,79,Real Madrid,2062,True,93.8,38.0,26,4,From Throw In,Weak Foot,4,4.5
0,1,Sporting Gijón,Real Madrid,0.018309502,0,45,0,Toni Kroos,5574,M,81,Real Madrid,2062,Iván Cuéllar,76,Sporting Gijón,1698,False,86.3,46.2,34,10,From Kick Off,Strong Foot,2,4.81
0,1,Sporting Gijón,Real Madrid,0.06559306,0,46,0,Francisco Román Alarcón Suárez,4926,F,75,Real Madrid,2062,Iván Cuéllar,76,Sporting Gijón,1698,False,97.2,41.7,22,4,From Throw In,Weak Foot,1,3.33
0,1,Sporting Gijón,Real Madrid,0.1015174,0,47,0,Carlos Carmona Bonet,23848,M,63,Sporting Gijón,1698,Keylor Navas,79,Real Madrid,2062,True,107.1,42.0,13,8,From Throw In,Head,1,0.67
0,1,Sporting Gijón,Real Madrid,0.02881186,0,48,0,Miguel Ángel Guerrero Martín,6602,F,70,Sporting Gijón,1698,Keylor Navas,79,Real Madrid,2062,True,91.4,44.1,28,8,From Goal Kick,Strong Foot,1,0.89
0,1,Sporting Gijón,Real Madrid,0.03269877,0,53,0,Cristiano Ronaldo dos Santos Aveiro,5207,F,93,Real Madrid,2062,Iván Cuéllar,76,Sporting Gijón,1698,False,101.9,23.7,24,42,Regular Play,Strong Foot,2,3.21
0,1,Sporting Gijón,Real Madrid,0.04115833,0,60,0,Gareth Frank Bale,6399,F,82,Real Madrid,2062,Iván Cuéllar,76,Sporting Gijón,1698,False,97.3,56.0,27,35,From Free Kick,Strong Foot,5,10.5
0,1,Sporting Gijón,Real Madrid,0.1272405,0,61,0,Raphaël Varane,5485,D,45,Real Madrid,2062,Iván Cuéllar,76,Sporting Gijón,1698,False,113.9,34.6,8,41,From Corner,Head,1,0.81
0,1,Sporting Gijón,Real Madrid,0.05225626,0,62,0,Gareth Frank Bale,6399,F,82,Real Madrid,2062,Iván Cuéllar,76,Sporting Gijón,1698,False,111.7,45.0,9,31,From Corner,Head,2,1.36
0,1,Sporting Gijón,Real Madrid,0.29326233,0,66,0,Cristiano Ronaldo dos Santos Aveiro,5207,F,93,Real Madrid,2062,Iván Cuéllar,76,Sporting Gijón,1698,False,115.1,43.2,5,33,From Throw In,Head,1,1.91
0,1,Sporting Gijón,Real Madrid,0.06254423,0,68,0,Cristiano Ronaldo dos Santos Aveiro,5207,F,93,Real Madrid,2062,Iván Cuéllar,76,Sporting Gijón,1698,False,105.6,54.2,20,44,Regular Play,Weak Foot,1,2.2
0,1,Sporting Gijón,Real Madrid,0.035191566,0,69,0,James David Rodríguez Rubio,5695,M,86,Real Madrid,2062,Iván Cuéllar,76,Sporting Gijón,1698,False,104.5,56.3,22,46,From Corner,Strong Foot,1,4.75
0,1,Sporting Gijón,Real Madrid,0.04299614,0,77,0,Cristiano Ronaldo dos Santos Aveiro,5207,F,93,Real Madrid,2062,Iván Cuéllar,76,Sporting Gijón,1698,False,108.5,26.8,17,48,From Throw In,Weak Foot,1,1.79
0,1,Sporting Gijón,Real Madrid,0.06563301,0,77,0,Marcelo Vieira da Silva Júnior,5552,D,67,Real Madrid,2062,Iván Cuéllar,76,Sporting Gijón,1698,False,107.3,37.9,12,9,From Throw In,Head,2,2.38
0,1,Sporting Gijón,Real Madrid,0.041370127,0,81,0,Luka Modrić,5463,M,74,Real Madrid,2062,Iván Cuéllar,76,Sporting Gijón,1698,False,100.2,33.0,21,19,Regular Play,Strong Foot,3,2.83
0,1,Sporting Gijón,Real Madrid,0.031502087,0,83,0,Alejandro Menéndez Díez,23994,M,51,Sporting Gijón,1698,Keylor Navas,79,Real Madrid,2062,True,104.8,26.9,20,40,Regular Play,Weak Foot,1,1.42
0,1,Sporting Gijón,Real Madrid,0.04500919,0,83,0,Cristiano Ronaldo dos Santos Aveiro,5207,F,93,Real Madrid,2062,Iván Cuéllar,76,Sporting Gijón,1698,False,103.8,22.6,23,47,Regular Play,Strong Foot,0,3.14
