game_index,week,home_team,away_team,xg,goal,minute,goal_difference,player,player_id,position,rating,team,eloTeam,keeper,keeperRating,opponent,eloOpponent,isHome,x,y,distance,angle,situation,body_part,opponentsInCone,minDist
0,1,Lazio,Bologna,0.037826344,0,0,0,Robert Acquafresca,386640,F,64,Bologna,1485,Etrit Berisha,73,Lazio,1744,False,104.5,30.9,17,30,From Throw In,Weak Foot,2,1.25
0,1,Lazio,Bologna,0.026632963,0,0,0,Alex Ferrari,7704,D,19,Bologna,1485,Etrit Berisha,73,Lazio,1744,False,93.1,42.3,26,4,From Throw In,Weak Foot,2,2.15
0,1,Lazio,Bologna,0.0765552,0,9,0,Antonio Candreva,7776,F,81,Lazio,1744,Antonio Mirante,77,Bologna,1485,True,111.8,30.9,12,47,From Free Kick,Head,1,2.31
0,1,Lazio,Bologna,0.034564547,0,13,0,Antonio Candreva,7776,F,81,Lazio,1744,Antonio Mirante,77,Bologna,1485,True,94.3,33.1,26,15,From Corner,Strong Foot,3,4.81
0,1,Lazio,Bologna,0.0650577,1,16,0,Lucas Rodrigo Biglia,5510,M,64,Lazio,1744,Antonio Mirante,77,Bologna,1485,True,103.1,37.9,17,7,From Free Kick,Weak Foot,6,4.73
0,1,Lazio,Bologna,0.015776066,0,19,-1,Robert Acquafresca,386640,F,64,Bologna,1485,Etrit Berisha,73,Lazio,1744,False,87.8,47.8,33,13,From Counter,Strong Foot,2,2.25
0,1,Lazio,Bologna,0.22498462,1,22,1,Ricardo Kishna,22828,F,67,Lazio,1744,Antonio Mirante,77,Bologna,1485,True,109.2,44.3,11,21,From Throw In,Strong Foot,3,3.08
0,1,Lazio,Bologna,0.039119862,0,26,-2,Franco Brienza,45591,M,72,Bologna,1485,Etrit Berisha,73,Lazio,1744,False,90.1,41.2,29,2,From Free Kick,Strong Foot,4,8.94
0,1,Lazio,Bologna,0.008053092,0,28,2,Antonio Candreva,7776,F,81,Lazio,1744,Antonio Mirante,77,Bologna,1485,True,98.8,62.6,30,46,Regular Play,Strong Foot,2,4.74
0,1,Lazio,Bologna,0.025029745,0,30,2,Dušan Basta,8443,D,68,Lazio,1744,Antonio Mirante,77,Bologna,1485,True,95.0,54.6,28,30,From Throw In,Strong Foot,2,5.39
0,1,Lazio,Bologna,0.07184681,0,41,2,Keita Baldé Diao,3145,F,69,Lazio,1744,Antonio Mirante,77,Bologna,1485,True,99.9,47.4,21,20,From Throw In,Weak Foot,1,5.19
0,1,Lazio,Bologna,0.32214707,1,42,-2,Matteo Mancosu,15415,F,71,Bologna,1485,Etrit Berisha,73,Lazio,1744,False,107.2,29.2,16,40,From Throw In,Weak Foot,1,1.28
0,1,Lazio,Bologna,0.011425268,0,45,1,Ştefan Daniel Radu,7778,D,54,Lazio,1744,Antonio Mirante,77,Bologna,1485,True,91.2,25.0,32,27,Regular Play,Strong Foot,2,4.43
0,1,Lazio,Bologna,0.020740664,0,46,1,Keita Baldé Diao,3145,F,69,Lazio,1744,Antonio Mirante,77,Bologna,1485,True,114.1,24.9,16,68,From Throw In,Strong Foot,1,1.0
0,1,Lazio,Bologna,0.20794512,0,46,1,Keita Baldé Diao,3145,F,69,Lazio,1744,Antonio Mirante,77,Bologna,1485,True,106.3,34.1,14,23,Regular Play,Strong Foot,1,1.12
0,1,Lazio,Bologna,0.035160672,0,52,1,Antonio Candreva,7776,F,81,Lazio,1744,Antonio Mirante,77,Bologna,1485,True,101.7,25.7,23,38,Regular Play,Strong Foot,2,2.12
0,1,Lazio,Bologna,0.0072676204,0,54,1,Antonio Candreva,7776,F,81,Lazio,1744,Antonio Mirante,77,Bologna,1485,True,81.2,36.7,38,4,From Free Kick,Strong Foot,4,9.04
