,game,round,week,date,home_team,away_team,home_score,away_score,game_id
0,2024-08-16 Le Havre-Paris Saint-Germain,1,1,2024-08-16 18:45:00+00:00,Le Havre,Paris Saint-Germain,1.0,4.0,12450872
1,2024-08-17 AS Monaco-Saint-Étienne,1,1,2024-08-17 19:00:00+00:00,AS Monaco,Saint-Étienne,1.0,0.0,12450869
2,2024-08-17 Stade Brestois-Olympique de Marseille,1,1,2024-08-17 15:00:00+00:00,Stade Brestois,Olympique de Marseille,1.0,5.0,12450865
3,2024-08-17 Stade de Reims-Lille,1,1,2024-08-17 17:00:00+00:00,Stade de Reims,Lille,0.0,2.0,12450870
4,2024-08-18 Angers-RC Lens,1,1,2024-08-18 15:00:00+00:00,Angers,RC Lens,0.0,1.0,12450867
5,2024-08-18 Auxerre-Nice,1,1,2024-08-18 13:00:00+00:00,Auxerre,Nice,2.0,1.0,12450871
6,2024-08-18 Montpellier-RC Strasbourg,1,1,2024-08-18 15:00:00+00:00,Montpellier,RC Strasbourg,1.0,1.0,12450866
7,2024-08-18 Stade Rennais-Olympique Lyonnais,1,1,2024-08-18 18:45:00+00:00,Stade Rennais,Olympique Lyonnais,3.0,0.0,12450873
8,2024-08-18 Toulouse-Nantes,1,1,2024-08-18 15:00:00+00:00,Toulouse,Nantes,0.0,0.0,12450868
9,2024-08-23 Paris Saint-Germain-Montpellier,2,2,2024-08-23 18:45:00+00:00,Paris Saint-Germain,Montpellier,6.0,0.0,12450874
10,2024-08-24 Lille-Angers,2,2,2024-08-24 17:00:00+00:00,Lille,Angers,2.0,0.0,12450878
11,2024-08-24 Olympique Lyonnais-AS Monaco,2,2,2024-08-24 15:00:00+00:00,Olympique Lyonnais,AS Monaco,0.0,2.0,12450881
12,2024-08-24 Saint-Étienne-Le Havre,2,2,2024-08-24 19:00:00+00:00,Saint-Étienne,Le Havre,0.0,2.0,12450877
13,2024-08-25 Nantes-Auxerre,2,2,2024-08-25 15:00:00+00:00,Nantes,Auxerre,2.0,0.0,12450876
14,2024-08-25 Nice-Toulouse,2,2,2024-08-25 15:00:00+00:00,Nice,Toulouse,1.0,1.0,12450879
15,2024-08-25 Olympique de Marseille-Stade de Reims,2,2,2024-08-25 18:45:00+00:00,Olympique de Marseille,Stade de Reims,2.0,2.0,12450882
16,2024-08-25 RC Lens-Stade Brestois,2,2,2024-08-25 13:00:00+00:00,RC Lens,Stade Brestois,2.0,0.0,12450880
