index,round,homeTeam,awayTeam,xg,goal,minute,goalDifference,player,position,rating,team,eloTeam,keeper,keeperRating,opponent,eloOpponent,isHome,x,y,distance,angle,situation,bodyPart
0,1,Empoli,Hellas Verona,0.027439260855317,0,8,0,Răzvan Marin,M,74,Empoli,1626,Lorenzo Montipò,76,Hellas Verona,1618,True,24,24,28,33,assisted,strong-foot
0,1,Empoli,Hellas Verona,0.019431360065937,0,11,0,Matteo Cancellieri,F,69,Empoli,1626,Lorenzo Montipò,76,Hellas Verona,1618,True,33,38,33,3,assisted,strong-foot
0,1,Empoli,Hellas Verona,0.042384926229715,0,13,0,Francesco Caputo,F,77,Empoli,1626,Lorenzo Montipò,76,Hellas Verona,1618,True,7,25,16,64,regular,strong-foot
0,1,Empoli,Hellas Verona,0.058465469628572,0,13,0,Matteo Cancellieri,F,69,Empoli,1626,Lorenzo Montipò,76,Hellas Verona,1618,True,10,51,14,47,regular,weak-foot
0,1,Empoli,Hellas Verona,0.015716789290309,0,17,0,Josh Doig,D,61,Hellas Verona,1618,Elia Caprile,70,Empoli,1626,False,27,20,33,36,assisted,strong-foot
0,1,Empoli,Hellas Verona,0.014667375944555,0,30,0,Jordi Mboula,M,69,Hellas Verona,1618,Elia Caprile,70,Empoli,1626,False,27,52,29,23,assisted,weak-foot
0,1,Empoli,Hellas Verona,0.1415589004755,0,41,0,Cyril Ngonge,F,70,Hellas Verona,1618,Elia Caprile,70,Empoli,1626,False,10,47,12,34,assisted,strong-foot
0,1,Empoli,Hellas Verona,0.34548404812813,0,42,0,Emmanuel Gyasi,M,61,Empoli,1626,Lorenzo Montipò,76,Hellas Verona,1618,True,10,34,11,30,assisted,strong-foot
0,1,Empoli,Hellas Verona,0.036707315593958,0,45,0,Răzvan Marin,M,74,Empoli,1626,Lorenzo Montipò,76,Hellas Verona,1618,True,29,21,34,33,free-kick,strong-foot
0,1,Empoli,Hellas Verona,0.03805797919631,0,56,0,Cyril Ngonge,F,70,Hellas Verona,1618,Elia Caprile,70,Empoli,1626,False,15,52,19,38,assisted,strong-foot
0,1,Empoli,Hellas Verona,0.11817731708288,0,60,0,Răzvan Marin,M,74,Empoli,1626,Lorenzo Montipò,76,Hellas Verona,1618,True,26,36,26,8,free-kick,strong-foot
0,1,Empoli,Hellas Verona,0.031100219115615,0,61,0,Paweł Dawidowicz,D,47,Hellas Verona,1618,Elia Caprile,70,Empoli,1626,False,11,45,12,24,set-piece,head
0,1,Empoli,Hellas Verona,0.092014171183109,0,62,0,Josh Doig,D,61,Hellas Verona,1618,Elia Caprile,70,Empoli,1626,False,8,27,15,58,assisted,strong-foot
0,1,Empoli,Hellas Verona,0.071428433060646,1,75,0,Federico Bonazzoli,F,73,Hellas Verona,1618,Elia Caprile,70,Empoli,1626,False,9,45,10,29,corner,strong-foot
