,game,round,week,date,home_team,away_team,home_score,away_score,game_id
0,2024-08-17 Empoli-Monza,1,1,2024-08-17 18:45:00+00:00,Empoli,Monza,0.0,0.0,12499255
1,2024-08-17 Genoa-Inter,1,1,2024-08-17 16:30:00+00:00,Genoa,Inter,2.0,2.0,12499256
2,2024-08-17 Milan-Torino,1,1,2024-08-17 18:45:00+00:00,Milan,Torino,2.0,2.0,12499261
3,2024-08-17 Parma-Fiorentina,1,1,2024-08-17 16:30:00+00:00,Parma,Fiorentina,1.0,1.0,12499262
4,2024-08-18 Bologna-Udinese,1,1,2024-08-18 16:30:00+00:00,Bologna,Udinese,1.0,1.0,12499253
5,2024-08-18 Cagliari-Roma,1,1,2024-08-18 18:45:00+00:00,Cagliari,Roma,0.0,0.0,12499254
6,2024-08-18 Hellas Verona-Napoli,1,1,2024-08-18 16:30:00+00:00,Hellas Verona,Napoli,3.0,0.0,12499257
7,2024-08-18 Lazio-Venezia,1,1,2024-08-18 18:45:00+00:00,Lazio,Venezia,3.0,1.0,12499259
8,2024-08-19 Juventus-Como,1,1,2024-08-19 18:45:00+00:00,Juventus,Como,3.0,0.0,12499258
9,2024-08-19 Lecce-Atalanta,1,1,2024-08-19 16:30:00+00:00,Lecce,Atalanta,0.0,4.0,12499260
10,2024-08-24 Inter-Lecce,2,2,2024-08-24 18:45:00+00:00,Inter,Lecce,2.0,0.0,12499268
11,2024-08-24 Monza-Genoa,2,2,2024-08-24 18:45:00+00:00,Monza,Genoa,0.0,1.0,12499269
12,2024-08-24 Parma-Milan,2,2,2024-08-24 16:30:00+00:00,Parma,Milan,2.0,1.0,12499271
13,2024-08-24 Udinese-Lazio,2,2,2024-08-24 16:30:00+00:00,Udinese,Lazio,2.0,1.0,12499274
14,2024-08-25 Fiorentina-Venezia,2,2,2024-08-25 16:30:00+00:00,Fiorentina,Venezia,0.0,0.0,12499266
15,2024-08-25 Napoli-Bologna,2,2,2024-08-25 18:45:00+00:00,Napoli,Bologna,3.0,0.0,12499270
16,2024-08-25 Roma-Empoli,2,2,2024-08-25 18:45:00+00:00,Roma,Empoli,1.0,2.0,12499272
17,2024-08-25 Torino-Atalanta,2,2,2024-08-25 16:30:00+00:00,Torino,Atalanta,2.0,1.0,12499273
18,2024-08-26 Cagliari-Como,2,2,2024-08-26 16:30:00+00:00,Cagliari,Como,1.0,1.0,12499265
19,2024-08-26 Hellas Verona-Juventus,2,2,2024-08-26 18:45:00+00:00,Hellas Verona,Juventus,0.0,3.0,12499267
20,2024-08-30 Inter-Atalanta,3,3,2024-08-30 18:45:00+00:00,Inter,Atalanta,4.0,0.0,12499278
21,2024-08-30 Venezia-Torino,3,3,2024-08-30 16:30:00+00:00,Venezia,Torino,0.0,1.0,12499284
22,2024-08-31 Bologna-Empoli,3,3,2024-08-31 16:30:00+00:00,Bologna,Empoli,1.0,1.0,12499275
23,2024-08-31 Lazio-Milan,3,3,2024-08-31 18:45:00+00:00,Lazio,Milan,2.0,2.0,12499280
24,2024-08-31 Lecce-Cagliari,3,3,2024-08-31 16:30:00+00:00,Lecce,Cagliari,1.0,0.0,12499281
25,2024-08-31 Napoli-Parma,3,3,2024-08-31 18:45:00+00:00,Napoli,Parma,2.0,1.0,12499282
26,2024-09-01 Fiorentina-Monza,3,3,2024-09-01 16:30:00+00:00,Fiorentina,Monza,2.0,2.0,12499276
27,2024-09-01 Genoa-Hellas Verona,3,3,2024-09-01 16:30:00+00:00,Genoa,Hellas Verona,0.0,2.0,12499277
28,2024-09-01 Juventus-Roma,3,3,2024-09-01 18:45:00+00:00,Juventus,Roma,0.0,0.0,12499279
29,2024-09-01 Udinese-Como,3,3,2024-09-01 18:45:00+00:00,Udinese,Como,1.0,0.0,12499283
30,2024-09-14 Como-Bologna,4,4,2024-09-14 13:00:00+00:00,Como,Bologna,2.0,2.0,12499287
31,2024-09-14 Empoli-Juventus,4,4,2024-09-14 16:00:00+00:00,Empoli,Juventus,0.0,0.0,12499288
32,2024-09-14 Milan-Venezia,4,4,2024-09-14 18:45:00+00:00,Milan,Venezia,4.0,0.0,12499291
33,2024-09-15 Atalanta-Fiorentina,4,4,2024-09-15 13:00:00+00:00,Atalanta,Fiorentina,3.0,2.0,12499285
34,2024-09-15 Cagliari-Napoli,4,4,2024-09-15 16:00:00+00:00,Cagliari,Napoli,0.0,4.0,12499286
35,2024-09-15 Genoa-Roma,4,4,2024-09-15 10:30:00+00:00,Genoa,Roma,1.0,1.0,12499289
36,2024-09-15 Monza-Inter,4,4,2024-09-15 18:45:00+00:00,Monza,Inter,1.0,1.0,12499292
37,2024-09-15 Torino-Lecce,4,4,2024-09-15 13:00:00+00:00,Torino,Lecce,0.0,0.0,12499294
38,2024-09-16 Lazio-Hellas Verona,4,4,2024-09-16 18:45:00+00:00,Lazio,Hellas Verona,2.0,1.0,12499290
39,2024-09-16 Parma-Udinese,4,4,2024-09-16 16:30:00+00:00,Parma,Udinese,2.0,3.0,12499293
40,2024-09-20 Cagliari-Empoli,5,5,2024-09-20 16:30:00+00:00,Cagliari,Empoli,0.0,2.0,12499296
41,2024-09-20 Hellas Verona-Torino,5,5,2024-09-20 18:45:00+00:00,Hellas Verona,Torino,2.0,3.0,12499298
42,2024-09-21 Juventus-Napoli,5,5,2024-09-21 16:00:00+00:00,Juventus,Napoli,0.0,0.0,12499300
43,2024-09-21 Lecce-Parma,5,5,2024-09-21 18:45:00+00:00,Lecce,Parma,2.0,2.0,12499301
44,2024-09-21 Venezia-Genoa,5,5,2024-09-21 13:00:00+00:00,Venezia,Genoa,2.0,0.0,12499304
45,2024-09-22 Fiorentina-Lazio,5,5,2024-09-22 10:30:00+00:00,Fiorentina,Lazio,2.0,1.0,12499297
46,2024-09-22 Inter-Milan,5,5,2024-09-22 18:45:00+00:00,Inter,Milan,1.0,2.0,12499299
47,2024-09-22 Monza-Bologna,5,5,2024-09-22 13:00:00+00:00,Monza,Bologna,1.0,2.0,12499302
48,2024-09-22 Roma-Udinese,5,5,2024-09-22 16:00:00+00:00,Roma,Udinese,3.0,0.0,12499303
49,2024-09-24 Atalanta-Como,5,5,2024-09-24 18:45:00+00:00,Atalanta,Como,2.0,3.0,12499295
50,2024-09-27 Milan-Lecce,6,6,2024-09-27 18:45:00+00:00,Milan,Lecce,3.0,0.0,12499309
51,2024-09-28 Bologna-Atalanta,6,6,2024-09-28 18:45:00+00:00,Bologna,Atalanta,1.0,1.0,12499305
52,2024-09-28 Genoa-Juventus,6,6,2024-09-28 16:00:00+00:00,Genoa,Juventus,0.0,3.0,12499308
53,2024-09-28 Udinese-Inter,6,6,2024-09-28 13:00:00+00:00,Udinese,Inter,2.0,3.0,12499314
54,2024-09-29 Como-Hellas Verona,6,6,2024-09-29 13:00:00+00:00,Como,Hellas Verona,3.0,2.0,12499306
55,2024-09-29 Empoli-Fiorentina,6,6,2024-09-29 16:00:00+00:00,Empoli,Fiorentina,0.0,0.0,12499307
56,2024-09-29 Napoli-Monza,6,6,2024-09-29 18:45:00+00:00,Napoli,Monza,2.0,0.0,12499310
57,2024-09-29 Roma-Venezia,6,6,2024-09-29 13:00:00+00:00,Roma,Venezia,2.0,1.0,12499312
58,2024-09-29 Torino-Lazio,6,6,2024-09-29 10:30:00+00:00,Torino,Lazio,2.0,3.0,12499313
59,2024-09-30 Parma-Cagliari,6,6,2024-09-30 18:45:00+00:00,Parma,Cagliari,2.0,3.0,12499311
60,2024-10-04 Hellas Verona-Venezia,7,7,2024-10-04 18:45:00+00:00,Hellas Verona,Venezia,2.0,1.0,12499318
61,2024-10-04 Napoli-Como,7,7,2024-10-04 16:30:00+00:00,Napoli,Como,3.0,1.0,12499323
62,2024-10-05 Atalanta-Genoa,7,7,2024-10-05 16:00:00+00:00,Atalanta,Genoa,5.0,1.0,12499315
